runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
117.50781,253.01128,265.92175,0.87391683223359,0.0003859417369023177,-235072.0,-6118173.0,-7.82641586738464,-0.27130798940788736,0.0013797416542615792
116.53906,258.42194,267.88214,0.8668492057495314,0.00019297086845115885,-278322.0,-5046789.0,-6.917571454323479,-0.33377326502659344,0.04423857014046462
115.72656,258.7337,267.8078,0.8598660770076094,0.001447281461341987,-412874.0,-5013037.0,-8.381882707908517,-0.5043625463940771,0.17235685945138357
114.96875,249.29602,263.45416,0.8529794683909131,0.0003859417369023177,-443920.0,-4356036.0,-5.853976290381979,-0.5126994722104428,3.843092031274864
113.88281,237.64159,259.77332,0.8461531422199187,0.0012543105720741465,-425680.0,-5127736.0,-6.592801355509437,-0.4869469307777763,0.12800722615224913
112.74219,247.99925,264.92853,0.8393991208777152,0.0026051066304155768,-299432.0,-4559158.0,-5.042497832619119,-0.34662540571162026,0.3450321841569348
111.66406,249.92633,262.61267,0.8327174896294309,0.0006753980291707151,-458638.0,-4108633.0,-4.408455765769759,-0.5253691881534905,2.33295025964253
110.5625,246.24629,256.2516,0.8261323785063723,0.0023156503381471794,-694064.0,-2428366.0,-3.0959641890149214,-0.7933996926112741,2.7656680572363257
109.65625,236.48828,252.30733,0.8196075498290156,-1.390007530215944e-16,-475838.0,-5978791.0,-2.910495140895364,-0.5445667596859494,0.0011337037975067688
108.6875,242.2303,257.23044,0.8131430035973608,0.0005789125845367948,-635306.0,-5756908.0,-4.037095095554832,-0.7260709367074014,0.002809643850909538
107.46875,242.82265,260.3205,0.8067388250765362,-1.488290858427652e-16,-642588.0,-5822875.0,-4.936761570206727,-0.734323492679323,0.0
106.296875,243.62418,262.90167,0.800382821353196,-2.358803284960108e-16,-660614.0,-6080028.0,-6.022741217748262,-0.7553392151748994,9.648543422557943e-05
105.203125,242.87782,264.11462,0.7940992077237752,9.648543422557943e-05,-789140.0,-6051803.0,-7.696462262174464,-0.9022805329550465,0.0055672090271130514
104.140625,249.07707,262.96912,0.7878758765400562,0.0006753980291707151,-627496.0,-5489099.0,-6.891169959999388,-0.7171867366650986,0.008210909951955614
102.984375,249.23839,260.83212,0.7817249354502565,0.0016402522673431008,-495830.0,-4624631.0,-5.818023055326194,-0.5669242568728805,0.34233995904742187
101.84375,249.13663,260.6524,0.775646384454376,0.002026194045878782,-435380.0,-5500900.0,-5.457469228531409,-0.498118112091106,0.055744459714901495
100.796875,243.20554,259.29327,0.76961600825598,0.0023156503381471794,-384814.0,-5212929.0,-4.370259375718888,-0.44082079853069445,0.28800901930026157
99.703125,238.08495,259.9744,0.7636339773853251,-1.4742503964921665e-16,-359200.0,-6176343.0,-4.662031187763205,-0.41117871774076775,0.0006753980291707151
98.609375,241.60144,259.37048,0.7577001213121548,0.0027980774364166905,-427198.0,-4837764.0,-5.285206384542107,-0.48862030155305547,0.19382954974389577
97.5625,236.74017,259.4663,0.7518265476846864,-1.5444528008329034e-16,-483034.0,-6202534.0,-6.411649792426033,-0.5523278474584004,0.0013797416542615792
96.609375,246.97324,263.7267,0.7460012341198308,-1.1934407791292188e-16,-456546.0,-6307600.0,-6.744669462932507,-0.522103789535322,0.0
95.796875,250.27162,265.03503,0.7401880282031925,0.0008683688768051923,-466234.0,-5897662.0,-7.391327017103322,-0.5330970651584721,0.005075133646670338
94.828125,250.35832,265.51794,0.7344229970840388,0.0008683688768051923,-475234.0,-4436399.0,-7.492600161640439,-0.543601899494206,0.35492166006179104
93.765625,247.73608,264.65723,0.728718248410587,-1.488290858427652e-16,-464958.0,-6337523.0,-8.124339046844398,-0.5315683893059031,0.0
92.6875,248.97066,265.32745,0.7230738674479653,-1.053035970447745e-16,-411478.0,-6484737.0,-8.234428605646826,-0.4705202627519611,0.0
91.78125,252.13524,266.70007,0.7175018765792629,0.0012543105720741465,-380980.0,-4956518.0,-8.095393241092097,-0.43578849329151126,0.2282845272816303
90.859375,246.51277,266.01755,0.7120021905393514,0.0005789125845367948,-398692.0,-5297287.0,-8.85258646121656,-0.4566775970715753,0.06648811101683805
89.9375,240.76813,264.26306,0.7065386995463996,9.648543422557943e-05,-331742.0,-6433829.0,-8.828875252220314,-0.37975762268160906,0.011578251690735897
88.984375,251.25008,262.90024,0.7011475560148028,0.0011578251690735897,-257962.0,-4924252.0,-7.11716347723268,-0.29513385868540354,0.3821884462240632
87.890625,235.88235,259.6381,0.6958046725458189,0.0013507960583414302,-470544.0,-4216484.0,-6.061866315576481,-0.5392510331603262,0.8224900227560283
86.78125,240.56493,260.3885,0.6905100491394478,0.0011578251690735897,-322838.0,-4663319.0,-5.232742751104524,-0.3694758845540491,0.22124109477772436
85.671875,232.70262,261.98657,0.6851912957017703,0.0005789125845367948,-375886.0,-5722858.0,-7.157747631936218,-0.43012603612169187,0.004612003778881046
84.671875,247.91241,265.11044,0.6798966722953992,0.002026194045878782,-321092.0,-5481397.0,-7.3048156536970055,-0.36758538612957636,0.10618222034963765
83.703125,250.46524,265.84006,0.6745778762251575,0.0006753980291707151,-279074.0,-5426497.0,-7.388745189018664,-0.32011153194844155,0.060785824373965625
82.859375,238.26181,265.2469,0.6691988403417781,-7.792467733791575e-17,-330702.0,-6079313.0,-9.428954854229232,-0.37850328737931704,0.0
82.171875,242.0726,266.37378,0.6638680218884474,0.0002894562922683974,-253660.0,-7033776.0,-7.805961104168091,-0.29634596643290934,0.0014086870003815477
82.671875,234.40668,266.42255,0.6585130734038103,-7.581859858126203e-17,-263346.0,-7190570.0,-9.167370308205136,-0.3062387250452048,0.0
83.109375,246.652,266.96094,0.6531822549504795,0.00019297086845115885,-252736.0,-6262207.0,-8.89320745045552,-0.2976123241182904,0.004225761740528355
82.921875,241.88611,266.61057,0.6478996539271975,-7.792467733791575e-17,-249248.0,-5752046.0,-9.35527555157023,-0.2950087321096362,0.012311541119913727
84.328125,238.50453,266.06598,0.6426894429978347,-1.5304123388974177e-16,-292802.0,-4796981.0,-8.470962256978964,-0.3368441952034118,0.38170601612819155
83.71875,237.86697,265.01855,0.6375274921310847,-7.792467733791575e-17,-233434.0,-6822715.0,-8.154538591043092,-0.27320151474441445,0.0
