runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
1735.6562,274.65778,276.91785,2.9781294870190322,0.22541772182194109,-1440612.0,-1209541.0,-6.770321306248661,-3.7177935610088753,3.9947790355654433
1738.9297,274.6192,277.2962,2.9531740892707603,0.06654823359042439,-1323086.0,-1230598.0,-6.866007879580138,-3.4144737810493098,1.9707700857907184
1740.4609,277.43683,279.02264,2.9274489179442753,0.012117163272762355,-2039106.0,-2572929.0,-11.608242857619189,-5.262431045593985,0.08104093929262035
1710.5938,277.12024,279.46588,2.9009546551606036,0.0917442442016636,-2433630.0,-2225553.0,-12.654887996177422,-6.280477919062832,1.1845585845549067
1651.6875,273.73535,275.7245,2.8754221830240567,1.5886948290244618,-1775168.0,-910904.0,-6.572671964022447,-4.58111730949895,11.664827525237342
1599.7969,272.6731,274.5008,2.850610883342597,0.0067317578178460735,-1993708.0,-2344355.0,-11.0517187295045,-5.139678933119285,0.07279973424090258
1556.3203,274.27008,276.29626,2.8257034045964247,1.0436148158987635,-1396078.0,-1014775.0,-6.20615196567087,-3.603041022870457,7.387104005829315
1520.5312,273.40057,275.32776,2.8015651878376957,1.2303729874929559,-1918720.0,-985462.0,-6.704061433993047,-4.948959599460068,11.952928161917953
1492.6875,270.92383,275.7292,2.777475060611323,0.02750403904627774,-1853386.0,-1930821.0,-9.623600817576516,-4.78062952424807,1.5449863894900773
1470.8125,272.96857,275.6113,2.7532889248504944,1.013802716443024,-1447614.0,-1197678.0,-6.242021981961443,-3.735289965334232,9.83983318292303
1451.7188,272.8949,275.17206,2.7295594691167935,0.11559389179183199,-2260110.0,-2293920.0,-11.163130238855956,-5.829269184687291,2.104443638017983
1436.8125,272.56363,273.99347,2.704820303733868,0.0021156952856316025,-2697700.0,-4520532.0,-15.537883427896304,-6.960457085369853,0.0
1420.0938,274.73132,277.08142,2.679768556390627,0.0009616796525779847,-2565042.0,-3724240.0,-15.089499356690794,-6.618296993110562,0.018021877323803892
1401.7031,275.17084,277.4242,2.656351512086985,0.4060211580281248,-1733446.0,-1063020.0,-7.21608330422896,-4.473625608625298,5.290218950904091
1383.5469,275.3009,277.45322,2.634305019455496,0.7651123041796382,-1476934.0,-987548.0,-6.943158496142132,-3.811689566646237,4.3887404217457515
1369.8906,275.16202,278.06842,2.6126432430828572,0.3502437380120682,-1654546.0,-992611.0,-7.90981539466884,-4.269857640792907,2.2436468043451896
1354.4219,275.6567,277.55304,2.5913419676726335,0.22522538500879818,-1250038.0,-819535.0,-5.626835786642914,-3.226200874451024,1.1159331165799813
1341.2188,275.333,276.3611,2.5705696771183284,1.6552430679439567,-2415222.0,-1141078.0,-7.716854952377616,-6.232982514120522,15.057884411362465
1328.5,275.10144,277.27283,2.550134013290517,0.1161709022312607,-2008242.0,-1868618.0,-9.816922101890668,-5.182539666748198,1.0647524675277964
1314.9375,276.46088,278.32568,2.5293136332038557,0.011347820016993637,-2365788.0,-2870758.0,-13.056437637715135,-6.105415650381474,0.0815119705066536
1301.2969,275.74863,278.38297,2.50786825972682,0.0019233593051559694,-3944016.0,-4174489.0,-18.782252936944133,-10.178279126193956,0.03510130852646398
1293.1875,278.26965,281.06042,2.486038169990934,0.024619000171810512,-3553096.0,-4285008.0,-18.94922525025322,-9.169411214315915,0.05973954131377468
1293.5625,279.02045,281.72498,2.464496446918929,0.030004406958994423,-3311368.0,-3359904.0,-17.486943306721514,-8.545557648176327,0.16136985081516286
1306.5469,277.62476,280.12402,2.4446619022455707,0.21541625017107435,-1443740.0,-653940.0,-6.557717824762221,-3.7258173506415915,3.217010998923797
1309.0312,277.90033,280.56183,2.425981165288249,0.05750844600527216,-1695906.0,-1397188.0,-9.957711881725118,-4.376562174002174,0.46054837810061144
1298.0312,278.5376,280.52234,2.4072044197964715,0.45506681090046186,-1285144.0,-810166.0,-7.046203108984628,-3.316526658636576,1.9970240714428655
1282.1406,278.11627,280.2695,2.3890526676950685,0.4783394587093426,-1469142.0,-710933.0,-6.474460178651498,-3.791362019001099,2.4398486857535318
1276.25,275.72125,276.86462,2.37135776615105,1.656974120578525,-1650090.0,-477479.0,-5.266470225251396,-4.258329454387422,10.47288378686062
1274.2969,269.29694,274.09555,2.3536869093732093,0.012886507860798702,-1509588.0,-1290461.0,-8.772009550739313,-3.880275130541122,3.987623927059758
1263.3125,268.78665,273.7631,2.3354872382697067,0.007308765592739519,-1413674.0,-1576602.0,-9.893952665152028,-3.6197321833242313,1.6556277842028067
1251.4375,268.7036,272.9549,2.3173114414021256,0.003077375021476314,-1437278.0,-1686466.0,-9.54481515691441,-3.664209884846059,2.523543571442133
1248.0469,272.49365,275.71118,2.2987028387433384,0.01480986666635431,-2484294.0,-3435668.0,-14.708818525832612,-6.3945387864805525,0.04285244692425749
1258.0625,275.2718,277.81747,2.2793491893935425,0.00038467187768453925,-3036188.0,-3795723.0,-16.95135961199412,-7.835471024009166,0.015098370553801033
1265.4844,272.5375,275.85568,2.2608127210332896,0.16194686125459157,-1248670.0,-1012430.0,-7.786311925883638,-3.2173472845897777,1.2718694790692098
1258.2188,271.04892,275.03595,2.243358267151052,0.10520775717282049,-1395022.0,-1436595.0,-8.865748668540618,-3.588597792258952,4.306593950786919
1243.5625,269.973,274.95386,2.2258557237364585,0.023657318770631264,-1657842.0,-1538100.0,-10.048253898276016,-4.2508766000537435,2.5914574166563398
1227.75,273.39886,275.91473,2.2078963297644805,0.31004553591174044,-2298130.0,-3361090.0,-14.075960280024447,-5.923538310526055,0.7824706642622914
1211.4219,272.51917,274.89258,2.1903697415837087,0.7037571805312837,-2065978.0,-1609275.0,-9.137206916420837,-5.321953267412027,8.457452850052505
1203.375,272.71228,275.76486,2.1736364601565583,0.170601975213458,-1444382.0,-1272362.0,-7.838506462576333,-3.7202727298790705,2.458168580687925
1197.9375,272.82874,275.72418,2.1570474473264767,0.26657760798798336,-1496722.0,-1040223.0,-7.931260597615619,-3.8566058719879948,3.5423663575784303
1192.25,273.45682,277.27832,2.1402662468972267,0.015386874441247755,-2335778.0,-2436317.0,-13.215377293818165,-6.025921265973011,0.06073007163820421
1195.0938,275.1664,279.3078,2.1222828081590706,0.002692703060525048,-4494344.0,-4758946.0,-22.67741638206644,-11.598547189350938,0.00828397350716159
