runoffs,d2m,skt,ssro,src,slhf,str,pev,e,tp
268.8203,253.88042,249.49402,2.3790171326254494,0.20947000933801974,-229826.0,-2855404.0,-0.5514826142416496,-0.5522247192857321,0.17360436288527126
266.98438,255.52547,253.94073,2.3619165290256205,0.222663381066468,-282428.0,-2639005.0,-0.6799656517841868,-0.6786146258264125,0.5205289426157833
265.17188,257.50128,254.96796,2.3450188564311247,0.239104352317554,-383594.0,-2582052.0,-0.92338322588148,-0.9216959995228535,0.23252819403296598
263.26562,261.71594,262.2862,2.3282226493392955,0.2474263141039046,-467468.0,-1917209.0,-1.1263833812336088,-1.1232246492909326,8.16827514427132
261.28125,246.3408,253.18935,2.311629543783056,0.26630296900975736,-278568.0,-2527908.0,-0.6799656517841868,-0.6693411904734603,3.291480197731289
259.23438,244.39378,239.5418,2.295137733199226,0.2748279044340052,-3308.0,-3322301.0,-0.01217848888401818,-0.007954076064464743,0.01461480003683846
257.1797,247.51031,249.49939,2.278823785673012,0.2861944921050963,-106660.0,-2151069.0,-0.2638418976630419,-0.2562874286127226,0.44508320229397214
255.20312,251.13496,255.33557,2.262611133119208,0.3014176215287989,-269284.0,-1503987.0,-0.6533252019380598,-0.6470329765306815,6.787905022065388
253.21875,243.98438,237.34053,2.2465507640845317,0.3091306624014578,-12264.0,-3542758.0,-0.03057308273213266,-0.029463063988544036,0.07357837539245793
251.34375,238.26546,235.31052,2.230667917046958,0.3140020510272734,-7776.0,-3341013.0,-0.022580950442829817,-0.01868636978485938,0.005859857932222212
249.51562,242.93007,239.69354,2.2149119445202814,0.3140020510272734,-22324.0,-3136806.0,-0.058507492184389776,-0.05364243982342032,0.0
247.625,244.17886,240.14973,2.199308255512733,0.3140020510272734,-28590.0,-3394997.0,-0.07337539642549018,-0.06869429292066798,0.0004059496488961756
245.6875,250.05165,253.30017,2.1838568500243127,0.3259775596120562,-128478.0,-1968945.0,-0.31509303966004154,-0.30870567968577234,1.587557392213057
243.79688,250.83488,249.7777,2.16853231904679,0.3351114372662778,-95484.0,-2848295.0,-0.2317211382774076,-0.22942496968880732,0.07075702157521846
241.875,253.338,249.64853,2.153385310066369,0.34607207766157444,-165656.0,-2810946.0,-0.39993651057557145,-0.39803995832699,0.26916491435713397
239.9375,252.35733,250.4688,2.1382889485721535,0.36393386437794106,-230766.0,-2575767.0,-0.5533854761097246,-0.5544828383108324,0.608315531280823
238.04688,246.09616,242.42415,2.1233196321190917,0.38138968250223115,-151282.0,-4210533.0,-0.3692112215958332,-0.36349619847442227,0.26904313443765204
236.23438,243.8369,240.7283,2.1084517811686965,0.3862610924443288,-52198.0,-3806116.0,-0.12767116430723036,-0.12542574978624543,0.0006089244525275816
234.46875,244.9159,242.96031,2.0936345777045062,0.38991461792647897,-101682.0,-3651427.0,-0.2522469699783869,-0.2443182509637154,0.0029228023334937347
